10746	L1
10747	L1
11689	1
11685	1
34447	R1
34448	R1
18216	1
13435	1
11072	1
11071	1
19087	1
19088	1
13429	1
13428	1
36887	1
44062	1
44061	1
33179	1
229	1
230	1
16559	1
16561	1
495	1
496	1
16691	1
16558	1
7817	1
16557	1
16690	1
24302	1
24303	1
2974	1
16524	1
7819	1
36795	1
36796	1
7330	1
40648	1
1208	1
1209	1
40646	1
16523	1
16689	1
16688	1
951	1
17841	1
25272	1
7938	1
4181	1
1634	1
25273	1
7941	1
953	1
14567	1
1064	1
1067	1
1636	1
17840	1
14568	1
43126	1
43127	1
9623	1
9622	1
11449	1
11450	1
7698	1
33272	1
33271	1
7831	1
12127	1
2	1
4543	1
21339	1
1	1
23446	1
38586	1
40261	1
40262	1
23445	1
11688	1
29438	L1
11692	1
12325	1
4185	1
12326	1
15030	1
952	1
954	1
15406	1
38273	1
38274	1
15405	1
15047	1
37583	1
21985	1
16803	1
11888	1
16802	1
11874	1
11875	1
11876	1
11877	1
15674	1
15675	1
16114	1
19748	1
19749	1
7828	1
23559	1
10379	1
10381	1
10383	1
12871	1
29602	10
29603	10
2299	10
2299	10
7639	10
2296	10
2296	10
7641	10
861	10
860	10
10796	10
10795	10
37657	10
7879	10
7878	10
16897	10
16898	10
40871	10
42028	10
2152	10
42029	10
8207	10
3600	10
44073	10
44074	10
8206	10
8474	10
12115	10
36942	10
12192	10
36941	10
20616	10
16564	10
11903	10
22002	10
10974	10
10975	10
16563	10
22004	10
26468	10
11386	10
11904	10
17070	10
8340	10
11515	10
38931	100
40015	100
40016	100
39824	100
39825	100
29724	100
29725	100
29726	101
29727	101
11168	101
11169	101
40018	102
5874	102
40017	102
5873	102
5875	103
11172	103
11275	103
16885	103
16886	103
5877	103
29769	103
29770	103
9206	103
9793	104
9791	104
9792	104
9794	104
5878	104
11338	104
11339	104
5880	104
6109	105
11340	105
11341	105
15721	105
6110	105
5881	106
5882	106
5884	107
5883	107
15252	107
15253	107
15669	108
20112	108
20113	108
15670	108
33324	109
33325	109
11175	109
11174	109
2153	10א
22005	10א
22003	10א
42030	10א
20419	11
20420	11
3606	11
3604	11
29931	11
29930	11
2035	11
2040	11
28855	11
28854	11
15584	11
15585	11
15489	11
15490	11
43242	11
19410	11
19467	11
7881	11
7883	11
11906	11
4678	11
11811	11
11905	11
11810	11
19285	11
19286	11
14670	11
28109	11
14669	11
28108	11
11527	11
16694	11
16695	11
11528	11
19608	11
12198	11
19609	11
16697	11
29671	11
29672	11
16696	11
16526	11
16525	11
11387	11
26467	11
17066	11
8344	11
11757	11
11759	11
8348	11
26453	11
26454	11
8349	11
15040	110
15041	110
11176	110
11176	110
9018	110
9018	110
11177	110
11177	110
9021	110
9021	110
21666	110
21666	110
21168	110
21168	110
29863	110
29863	110
21236	110
21236	110
11178	111
11179	111
23045	111
23044	111
9024	111
20750	111
39643	111
21170	111
21171	111
21722	111
39644	111
13387	112
13389	112
41217	112
41216	112
23047	112
23046	112
29704	112
29705	112
11200	112
21723	112
11301	112
26915	112
26916	112
11292	112
13390	112
19597	112
40019	112
40020	112
16190	113
16191	113
11156	113
11344	113
11344	113
20756	113
20756	113
20755	113
35324	114
23206	114
23207	114
11355	114
11357	114
11322	115
19654	115
27902	115
27901	115
15547	115
11287	115
15546	115
13260	115
34620	116
34619	116
11360	116
11361	116
17848	117
17847	117
28977	117
28978	117
22560	117
22561	117
10851	118
10849	118
40021	118
40022	118
17849	118
17850	118
10852	118
10850	118
2692	119
11818	119
2691	119
8476	11א
8479	11א
15760	11א
3608	11א
3610	11א
15491	12
3612	12
3614	12
8482	12
4685	12
4683	12
2046	12
2047	12
17555	12
10230	12
10228	12
15607	12
15606	12
36875	12
43301	12
20740	12
20741	12
41212	12
41213	12
17556	12
29805	12
19799	12
23397	12
23398	12
11812	12
12442	12
19800	12
17937	12
3617	12
3616	12
12443	12
28110	12
28111	12
305	12
307	12
1399	12
1401	12
16566	12
16565	12
11907	12
16528	12
1299	12
36876	12
1302	12
16527	12
9517	12
2312	12
27069	12
40658	12
40659	12
9519	12
17067	12
2157	12
43917	12
3019	12
3021	12
43918	12
11785	12
11787	12
3017	12
3024	12
17965	12
2156	12
17966	12
19278	12
2160	12
2161	12
22007	12
17136	12
5889	120
34673	120
34674	120
5888	120
39927	121
39928	121
40038	121
40039	121
11575	121
11576	121
25623	122
25622	122
5898	122
5895	122
4134	123
4135	123
16748	123
16747	123
11289	123
21547	123
21548	123
6530	123
6529	123
11657	123
11658	123
17175	124
17174	124
5903	124
5900	124
2963	125
2961	125
11567	125
11566	125
9867	126
9866	126
39931	126
39932	126
11577	126
11572	127
11573	127
42843	127
42844	127
18484	128
18136	128
20812	128
20813	128
20564	129
20565	129
18494	129
18115	129
16907	129
36873	12א
19182	12א
17938	12א
19460	12א
36874	12א
28379	12א
43651	12א
43650	12א
21662	12א
43937	12א
21661	12א
43936	12א
27320	13
27322	13
867	13
866	13
36503	13
36504	13
3619	13
3620	13
17520	13
17521	13
37690	13
43239	13
40490	13
40491	13
41039	13
41042	13
17934	13
7894	13
29191	13
12444	13
11536	13
3624	13
12445	13
11529	13
15399	13
12012	13
12011	13
16681	13
29241	13
16530	13
14117	13
14115	13
16680	13
16529	13
9520	13
14927	13
14928	13
9522	13
21374	13
41044	13
41041	13
17068	13
15008	13
16986	13
41330	13
41331	13
19610	13
24205	130
1863	130
1865	130
16871	130
24221	131
10639	131
10636	131
18562	131
18106	131
4142	131
10640	132
9455	132
9454	132
10642	132
18114	132
18593	132
20475	132
20476	132
4146	133
4143	133
10645	133
10644	133
18464	133
18674	133
17062	133
17063	133
4148	133
4145	133
10647	134
10648	134
32345	134
40086	134
40087	134
32344	134
16567	134
16568	134
10889	135
10890	135
16570	135
16569	135
15763	136
11295	136
11297	136
11293	136
29617	136
29618	136
15764	136
11294	136
11332	136
16571	136
16572	136
15765	136
15978	137
15979	137
16387	137
16386	137
1019	137
1021	137
23380	137
23381	137
21817	137
21818	137
24213	138
39939	138
20849	138
24215	138
20850	138
39938	138
1024	138
1023	138
18070	138
18514	138
24216	138
24214	138
32006	139
32005	139
18223	139
18757	139
1025	139
1026	139
33353	139
33354	139
17065	139
17064	139
15118	139
15119	139
37691	13א
17939	13א
14116	13א
14118	13א
15254	13א
869	13א
16219	13א
41040	13א
41043	13א
2319	14
2320	14
15495	14
15494	14
10180	14
10179	14
37683	14
4707	14
20166	14
20167	14
27907	14
11433	14
19932	14
11434	14
27906	14
19931	14
43240	14
17524	14
41210	14
41211	14
42026	14
17523	14
872	14
15153	14
12440	14
12441	14
17922	14
16493	14
16494	14
39117	14
29539	14
29540	14
16532	14
15360	14
16531	14
9526	14
9524	14
15361	14
1733	14
39646	14
20415	14
3626	14
20416	14
3628	14
3627	14
3629	14
28023	140
28024	140
2712	140
2711	140
33254	140
24211	140
33277	140
15793	140
15792	140
17148	140
17145	140
17149	140
17147	140
17360	140
29265	141
29266	141
24212	141
28026	141
28025	141
15789	141
15788	141
9803	142
9802	142
6111	142
6113	142
33279	142
33278	142
4154	142
17150	142
4152	142
17152	142
16392	142
16391	142
17151	142
17153	142
15074	142
20212	142
43393	143
43392	143
28020	143
26459	143
28441	143
28442	143
16426	143
15070	143
15071	143
33506	143
16378	144
16377	144
11826	144
11827	144
3310	144
3311	144
28027	145
21358	145
21359	145
28028	145
42806	145
42805	145
16192	145
16194	145
16193	145
16195	145
42803	146
42804	146
7525	146
7526	146
28029	146
28030	146
43173	147
43174	147
28495	147
28494	147
7715	147
21022	147
28034	147
21023	147
28033	147
35698	148
35700	148
18260	148
18521	148
21698	148
21697	148
28035	148
28036	148
33335	148
23839	148
23840	148
21024	148
21025	148
33336	148
7716	149
7719	149
28021	149
28022	149
7720	149
28559	149
28558	149
21026	149
21027	149
33351	149
18146	149
18505	149
33352	149
16908	149
16909	149
42027	14א
41901	14א
17923	14א
41902	14א
178	14א
180	14א
39118	14א
43653	14א
43652	14א
43915	14א
19612	14א
43923	14א
37936	15
15541	15
15540	15
29280	15
29279	15
13393	15
21175	15
13394	15
16812	15
16813	15
25833	15
25832	15
11650	15
36870	15
36871	15
17321	15
17320	15
28421	15
28422	15
37685	15
37684	15
16573	15
12176	15
16574	15
1311	15
1312	15
12174	15
12330	15
12331	15
40031	15
7357	15
7357	15
39119	15
16534	15
20618	15
20620	15
16533	15
3063	15
17069	15
26246	15
26247	15
41390	15
41391	15
26157	150
11181	150
15791	150
15790	150
11180	150
26156	150
43362	150
34079	150
34080	150
20676	150
33280	150
33281	150
9028	150
20677	150
21685	150
10931	151
10932	151
16317	151
16318	151
17716	151
17717	151
20911	151
34077	151
34078	151
20910	151
15802	151
15803	151
18427	151
18689	151
26345	151
43010	151
43012	151
15800	152
15801	152
34086	152
34087	152
26200	152
